Date,Open,High,Low,Close,Adj Close,Volume
2006-11-03,49.566822,49.576038,49.087559,49.290321,35.080437,335900
2006-11-06,49.668201,49.917049,49.447006,49.834103,35.467442,249300
2006-11-07,50.341015,50.884792,50.341015,50.460831,35.913498,326200
2006-11-08,50.221199,50.691246,50.082951,50.617512,36.025002,436000
2006-11-09,50.368664,50.599079,50.193550,50.377880,35.854450,653000
2006-11-10,50.387096,50.387096,50.092167,50.276497,35.782303,200200
2006-11-13,49.778801,50.027649,49.741936,49.861752,35.487125,830100
2006-11-14,49.520737,49.622120,48.949310,49.603687,35.303459,1251900
2006-11-15,49.354839,49.870968,49.317974,49.686634,35.362499,667800
2006-11-16,49.603687,49.658985,49.354839,49.539169,35.257538,510800
2006-11-17,49.345623,49.898617,49.244240,49.815670,35.454330,279000
2006-11-20,49.557602,49.861752,49.511520,49.695854,35.369049,160900
2006-11-21,49.953918,50.073734,49.631336,49.870968,35.493675,191800
2006-11-22,49.806450,49.889400,49.603687,49.778801,35.428082,252600
2006-11-24,49.336407,49.705070,49.308754,49.539169,35.257538,140000
2006-11-27,49.917049,49.972351,49.170506,49.345623,35.119789,379500
2006-11-28,48.847927,49.087559,48.672810,48.986176,34.863976,387300
2006-11-29,50.000000,50.193550,49.631336,49.806450,35.447765,560400
2006-11-30,49.981567,50.036865,49.585255,49.824886,35.460899,232600
2006-12-01,49.612904,49.760368,49.179722,49.668201,35.349377,268800
2006-12-04,49.133640,49.797234,49.096775,49.695854,35.369049,286400
2006-12-05,49.539169,49.769585,49.400921,49.751152,35.408405,405100
2006-12-06,49.723503,50.313366,49.677418,50.082951,35.644558,295500
2006-12-07,51.658985,51.834103,51.364056,51.419353,36.595695,763800
2006-12-08,52.350231,56.700462,52.341015,53.686634,38.209332,7281100
2006-12-11,52.304146,52.930874,52.119816,52.599079,37.435310,1527300
2006-12-12,52.119816,52.516129,51.852535,52.175114,37.133575,1039400
2006-12-13,52.608295,52.645161,52.202766,52.635944,37.461540,651700
2006-12-14,52.092167,52.811058,52.009216,52.746544,37.540257,892700
2006-12-15,52.792625,52.857143,52.368664,52.700462,37.507469,425200
2006-12-18,52.304146,52.405529,52.129032,52.193550,37.146683,515800
2006-12-19,52.018433,52.672810,51.944702,52.534561,37.389389,410900
2006-12-20,53.253456,53.299538,52.396313,52.396313,37.290985,395800
2006-12-21,52.202766,52.857143,52.101383,52.811058,37.586174,781000
2006-12-22,53.271889,53.281105,52.562210,52.811058,37.586174,280700
2006-12-26,53.115208,53.170506,52.663593,53.105991,37.796082,241500
2006-12-27,53.188942,53.529953,52.995392,53.419353,38.019112,244700
2006-12-28,53.834103,53.981567,53.511520,53.806450,38.294601,333800
2006-12-29,53.631336,53.824886,53.456223,53.585255,38.137177,663000
2007-01-03,54.764977,55.041473,54.423962,54.774193,38.983356,965100
2007-01-04,54.792625,55.032257,54.608295,54.847927,39.035851,1091700
2007-01-05,53.907833,53.981567,53.456223,53.686634,38.209332,786500
2007-01-08,54.258064,54.331799,53.732719,54.331799,38.668503,877900
2007-01-09,55.023041,55.631336,54.801842,55.133640,39.239189,974400
2007-01-10,54.387096,54.396313,54.092167,54.331799,38.668503,521900
2007-01-11,53.751152,55.105991,53.751152,54.940094,39.101437,958100
2007-01-12,54.921658,55.465439,54.875576,55.290321,39.350689,739800
2007-01-16,55.483871,55.557602,54.764977,55.050690,39.180141,540100
2007-01-17,54.608295,55.050690,54.423962,54.774193,38.983356,613300
2007-01-18,54.774193,54.857143,54.313366,54.506912,38.793137,393600
2007-01-19,54.506912,54.847927,54.433178,54.746544,38.963680,494800
2007-01-22,55.124424,55.124424,54.396313,54.506912,38.793137,363000
2007-01-23,54.774193,55.124424,54.654377,54.884792,39.062073,352700
2007-01-24,55.345623,55.649769,55.096775,55.493088,39.495003,350800
2007-01-25,55.778801,55.815670,54.774193,54.866360,39.048958,1066100
2007-01-26,54.820278,54.829494,54.092167,54.479263,38.773457,664000
2007-01-29,54.488480,54.755760,54.377880,54.571430,38.839046,355600
2007-01-30,55.023041,55.041473,54.691246,54.976959,39.127682,550700
2007-01-31,53.898617,54.552994,53.640553,54.368664,38.694752,772300
2007-02-01,54.958527,55.198158,54.626728,55.124424,39.232620,686800
2007-02-02,55.207375,55.520737,55.087559,55.419353,39.442524,329600
2007-02-05,54.774193,54.995392,54.580647,54.847927,39.035851,469100
2007-02-06,55.861752,56.221199,55.585255,55.806450,39.718025,541000
2007-02-07,55.428570,56.018433,55.244240,55.824886,39.731144,584100
2007-02-08,55.760368,55.870968,55.327190,55.658985,39.613083,428400
2007-02-09,56.073734,56.129032,55.474655,55.594471,39.567150,371500
2007-02-12,55.456223,55.585255,55.235023,55.428570,39.449085,248300
2007-02-13,55.603687,56.184330,55.603687,56.184330,39.986965,235700
2007-02-14,56.368664,57.013824,56.285713,56.921658,40.511730,289100
2007-02-15,56.617512,56.912441,56.423962,56.774193,40.406780,303200
2007-02-16,56.377880,56.682026,56.276497,56.608295,40.288715,286100
2007-02-20,56.331799,57.179722,56.138248,57.105991,40.642933,620400
2007-02-21,56.792625,56.940094,56.460831,56.838711,40.452698,330000
2007-02-22,56.728111,57.105991,56.635944,56.995392,40.564213,464700
2007-02-23,57.419353,57.640553,57.124424,57.566822,40.970901,643800
2007-02-26,57.741936,57.769585,57.188942,57.327190,40.800354,492000
2007-02-27,55.732719,56.101383,54.036865,54.516129,38.799690,971500
2007-02-28,54.156681,54.451614,53.658985,53.972351,38.412685,729900
2007-03-01,52.479263,53.161289,50.018433,52.894009,37.645218,1194100
2007-03-02,51.741936,52.055298,51.410137,51.419353,36.595695,1119900
2007-03-05,50.691246,51.152073,50.414745,50.414745,35.880699,862500
2007-03-06,51.677418,52.755760,51.400921,52.626728,37.454987,721800
2007-03-07,51.308754,51.806450,51.161289,51.447006,37.792812,607800
2007-03-08,52.009216,52.433178,51.953918,52.156681,38.314137,438100
2007-03-09,52.451614,52.829494,52.304146,52.626728,38.659431,356400
2007-03-12,52.258064,52.387096,51.889400,52.276497,38.402164,359200
2007-03-13,51.336407,51.474655,49.953918,50.027649,36.750153,796100
2007-03-14,48.571430,49.686634,48.147465,49.520737,36.377781,1989800
2007-03-15,49.152073,49.870968,48.958527,49.594471,36.431942,908400
2007-03-16,49.354839,49.539169,49.078342,49.308754,36.222057,581600
2007-03-19,49.511520,49.760368,48.552994,49.170506,36.120495,1654600
2007-03-20,50.783409,51.152073,50.350231,50.875576,37.373035,1898500
2007-03-21,51.917049,52.995392,51.520737,52.903225,38.862541,1273300
2007-03-22,53.677418,53.797234,53.373272,53.465439,39.275543,722500
2007-03-23,54.958527,55.281105,54.082951,54.774193,40.236950,929600
2007-03-26,54.304146,54.377880,53.668201,54.230415,39.837494,896700
2007-03-27,52.663593,52.976959,52.405529,52.894009,38.855774,558600
2007-03-28,52.562210,52.635944,52.082951,52.221199,38.361542,379200
2007-03-29,52.589863,52.903225,52.442398,52.746544,38.747452,306100
2007-03-30,52.064518,52.626728,51.963135,52.479263,38.551102,600000
2007-04-02,53.152073,53.271889,52.672810,53.069126,38.984409,377600
2007-04-03,53.161289,53.649769,52.857143,53.382488,39.214603,444500
2007-04-04,52.571430,53.299538,52.571430,53.299538,39.153675,423600
2007-04-05,53.529953,53.622120,53.207375,53.622120,39.390652,363600
2007-04-09,54.239632,54.377880,53.308754,53.364056,39.201069,315000
2007-04-10,53.594471,53.852535,53.428570,53.778801,39.505745,218900
2007-04-11,53.585255,53.622120,53.225807,53.345623,39.187531,242100
2007-04-12,52.912441,54.184330,52.746544,54.009216,39.674999,347400
2007-04-13,54.239632,55.299538,54.110600,55.290321,40.616100,815400
2007-04-16,55.410137,55.815670,55.299538,55.640553,40.873379,498700
2007-04-17,55.437790,55.668201,55.207375,55.520737,40.785362,343900
2007-04-18,55.290321,55.474655,54.949310,55.207375,40.555161,589500
2007-04-19,54.211983,54.820278,54.193550,54.516129,40.047379,411300
2007-04-20,56.165897,56.211983,55.244240,55.299538,40.622871,636500
2007-04-23,53.953918,54.442398,53.649769,53.705070,39.451580,886500
2007-04-24,52.552994,52.958527,52.248848,52.396313,38.490162,1061900
2007-04-25,54.046082,54.129032,53.198158,53.990784,39.661469,2046200
2007-04-26,53.244240,53.327190,52.580647,52.700462,38.713604,807000
2007-04-27,54.276497,54.755760,53.529953,53.603687,39.377110,1123500
2007-04-30,53.778801,53.889400,53.391705,53.493088,39.295860,824600
2007-05-01,53.437790,53.557602,52.811058,53.105991,39.011494,570300
2007-05-02,52.700462,53.281105,52.654377,53.152073,39.045357,562700
2007-05-03,53.023041,55.170506,52.921658,54.497696,40.033844,1351900
2007-05-04,54.313366,54.341015,53.557602,53.861752,39.566681,1010300
2007-05-07,53.843319,54.165897,53.797234,53.898617,39.593761,249300
2007-05-08,53.714287,53.741936,53.290321,53.410137,39.234917,504600
2007-05-09,52.847927,53.170506,52.718895,53.142857,39.038586,529800
2007-05-10,52.193550,52.350231,51.511520,51.566822,37.880833,583000
2007-05-11,52.359447,52.700462,52.092167,52.571430,38.618809,699400
2007-05-14,52.516129,52.700462,52.092167,52.350231,38.456318,602300
2007-05-15,52.110600,52.645161,52.073734,52.267281,38.395393,1267300
2007-05-16,52.433178,52.442398,51.824886,52.230415,38.368298,946400
2007-05-17,51.926266,52.285713,51.576038,52.110600,38.280281,454300
2007-05-18,53.078342,53.456223,52.857143,53.317974,39.167221,653000
